Genre,Publisher,TotalSales
Music,Activision,0.26
Music,Activision,0.26
Music,Activision,0.26
Music,Activision,0.26
Music,Activision,0.26
Music,Activision,0.26
Shooter,Electronic Arts,0.3
Shooter,Electronic Arts,0.3
Shooter,Electronic Arts,0.3
Shooter,Electronic Arts,0.3
Shooter,Electronic Arts,0.3
Shooter,Electronic Arts,0.46
Shooter,Electronic Arts,0.46
Shooter,Electronic Arts,0.46
Shooter,Electronic Arts,0.46
Shooter,Electronic Arts,0.46
Shooter,Electronic Arts,2.15
Shooter,Electronic Arts,2.15
Shooter,Electronic Arts,2.15
Shooter,Electronic Arts,2.15
Shooter,Electronic Arts,2.15
Shooter,Electronic Arts,0.14
Shooter,Electronic Arts,0.14
Shooter,Electronic Arts,0.14
Shooter,Electronic Arts,0.14
Shooter,Electronic Arts,0.14
Shooter,Electronic Arts,1.24
Shooter,Electronic Arts,1.24
Shooter,Electronic Arts,1.24
Shooter,Electronic Arts,1.24
Shooter,Electronic Arts,1.24
Fighting,Namco Bandai Games,0.27
Fighting,Namco Bandai Games,0.27
Fighting,Namco Bandai Games,0.27
Fighting,Namco Bandai Games,0.27
Fighting,Namco Bandai Games,0.52
Fighting,Namco Bandai Games,0.52
Fighting,Namco Bandai Games,0.52
Fighting,Namco Bandai Games,0.52
Fighting,Namco Bandai Games,1.19
Fighting,Namco Bandai Games,1.19
Fighting,Namco Bandai Games,1.19
Fighting,Namco Bandai Games,1.19
Fighting,Namco Bandai Games,0.35
Fighting,Namco Bandai Games,0.35
Fighting,Namco Bandai Games,0.35
Fighting,Namco Bandai Games,0.35
Sports,Deep Silver,0.17
Sports,Deep Silver,0.17
Sports,Deep Silver,0.17
Sports,Deep Silver,0
Sports,Deep Silver,0
Sports,Deep Silver,0
Action,Konami Digital Entertainment,0.16
Action,Konami Digital Entertainment,0.16
Action,Konami Digital Entertainment,0.16
Action,Konami Digital Entertainment,0.16
Action,Konami Digital Entertainment,0.16
Action,Konami Digital Entertainment,3.04
Action,Konami Digital Entertainment,3.04
Action,Konami Digital Entertainment,3.04
Action,Konami Digital Entertainment,3.04
Action,Konami Digital Entertainment,3.04
Action,Konami Digital Entertainment,0.09
Action,Konami Digital Entertainment,0.09
Action,Konami Digital Entertainment,0.09
Action,Konami Digital Entertainment,0.09
Action,Konami Digital Entertainment,0.09
Action,Konami Digital Entertainment,0.83
Action,Konami Digital Entertainment,0.83
Action,Konami Digital Entertainment,0.83
Action,Konami Digital Entertainment,0.83
Action,Konami Digital Entertainment,0.83
Sports,Konami Digital Entertainment,0.13
Sports,Konami Digital Entertainment,0.13
Sports,Konami Digital Entertainment,0.13
Sports,Konami Digital Entertainment,0.13
Sports,Konami Digital Entertainment,0.13
Sports,Konami Digital Entertainment,0.44
Sports,Konami Digital Entertainment,0.44
Sports,Konami Digital Entertainment,0.44
Sports,Konami Digital Entertainment,0.44
Sports,Konami Digital Entertainment,0.44
